Property Name,Property ID,Record ID,Airtable ID,Check-in,Check-out,Entry Type,UID,Source,Status,Last Updated,Has HCP Job,Action
"Pritchett [] 825 W Monterey Pl, Chandler",rechv2TI0eTpZGZoa,recxsNsjrFr0iu6VG,41278,2025-07-16,2025-07-20,Reservation,NO_UID,Airbnb,Modified,2025-07-18T17:04:36.051Z,Yes,KEEP
"Pritchett [] 825 W Monterey Pl, Chandler",rechv2TI0eTpZGZoa,rec8nio5LxlEcL7M7,41236,2025-07-16,2025-07-20,Reservation,NO_UID,Airbnb,Modified,2025-07-18T17:02:56.681Z,Yes,REMOVE
"Pritchett [] 825 W Monterey Pl, Chandler",rechv2TI0eTpZGZoa,recuDoaZduPHn1u4M,41196,2025-07-16,2025-07-20,Reservation,NO_UID,Airbnb,Modified,2025-07-18T17:02:56.143Z,Yes,REMOVE
"Pritchett [] 825 W Monterey Pl, Chandler",rechv2TI0eTpZGZoa,reco1CHJYG36Guqzj,41156,2025-07-16,2025-07-20,Reservation,NO_UID,Airbnb,Modified,2025-07-18T17:02:55.476Z,Yes,REMOVE
"Pritchett [] 825 W Monterey Pl, Chandler",rechv2TI0eTpZGZoa,recgXTzcOH1SP0bMT,41115,2025-07-16,2025-07-20,Reservation,NO_UID,Airbnb,Modified,2025-07-18T17:02:54.898Z,Yes,REMOVE
"Pritchett [] 825 W Monterey Pl, Chandler",rechv2TI0eTpZGZoa,recHvIva4qxhMF9PW,40953,2025-07-16,2025-07-20,Reservation,NO_UID,Airbnb,Modified,2025-07-18T17:02:50.687Z,Yes,REMOVE
